gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
CELA3A,cnv,,,,,
CELA3B,mut,,,,,
CELA3B,cnv,,,,,
LINC00339,mut,,,,,
LINC00339,cnv,,,,,
RN7SL186P,mut,,,,,
RN7SL186P,cnv,,,,,
RN7SL386P,mut,,,,,
RN7SL386P,cnv,,,,,
RN7SL421P,mut,,,,,
RN7SL421P,cnv,,,,,
RN7SL768P,mut,,,,,
RN7SL768P,cnv,,,,,
WNT4,mut,,,,,
WNT4,cnv,,,,,
MIR4418,mut,,,,,
MIR4418,cnv,,,,,
ZBTB40,mut,,,,,
ZBTB40,cnv,,,,,
EPHA8,mut,,,,,
EPHA8,cnv,,,,,
C1QA,mut,,,,,
C1QA,cnv,,,,,
C1QC,mut,,,,,
C1QC,cnv,,,,,
C1QB,mut,,,,,
C1QB,cnv,,,,,
EPHB2,mut,,,,,
EPHB2,cnv,,,,,
MIR4684,mut,,,,,
MIR4684,cnv,,,,,
MIR4253,mut,,,,,
MIR4253,cnv,,,,,
LACTBL1,mut,,,,,
LACTBL1,cnv,,,,,
C1orf234,mut,,,,,
C1orf234,cnv,,,,,
KDM1A,mut,,,,,
KDM1A,cnv,,,,,
MIR3115,mut,,,,,
MIR3115,cnv,,,,,
MIR4419A,mut,,,,,
MIR4419A,cnv,,,,,
LUZP1,mut,,,,,
LUZP1,cnv,,,,,
HTR1D,mut,,,,,
HTR1D,cnv,,,,,
HNRNPR,mut,,,,,
HNRNPR,cnv,,,,,
ZNF436,mut,,,,,
ZNF436,cnv,,,,,
C1orf213,mut,,,,,
C1orf213,cnv,,,,,
TCEA3,mut,,,,,
TCEA3,cnv,,,,,
ASAP3,mut,,,,,
ASAP3,cnv,,,,,
E2F2,mut,,,,,
E2F2,cnv,,,,,
ID3,mut,,,,,
ID3,cnv,,,,,
MDS2,mut,,,,,
MDS2,cnv,,,,,
RPL11,mut,,,,,
RPL11,cnv,,,,,
RN7SL532P,mut,,,,,
RN7SL532P,cnv,,,,,
TCEB3,mut,,,,,
TCEB3,cnv,,,,,
PITHD1,mut,,,,,
PITHD1,cnv,,,,,
GALE,mut,,,,,
GALE,cnv,,,,,
HMGCL,mut,,,,,
HMGCL,cnv,,,,,
LYPLA2,mut,,,,,
LYPLA2,cnv,,,,,
FUCA1,mut,,,,,
FUCA1,cnv,,,,,
CNR2,mut,,,,,
CNR2,cnv,,,,,
RN7SL24P,mut,,,,,
RN7SL24P,cnv,,,,,
MIR378F,mut,,,,,
MIR378F,cnv,,,,,
PNRC2,mut,,,,,
PNRC2,cnv,,,,,
SRSF10,mut,,,,,
SRSF10,cnv,,,,,
MYOM3,mut,,,,,
MYOM3,cnv,,,,,
IL22RA1,mut,,,,,
IL22RA1,cnv,,,,,
IFNLR1,mut,,,,,
IFNLR1,cnv,,,,,
GRHL3,mut,,,,,
GRHL3,cnv,,,,,
STPG1,mut,,,,,
STPG1,cnv,,,,,
NIPAL3,mut,,,,,
NIPAL3,cnv,,,,,
RCAN3,mut,,,,,
RCAN3,cnv,,,,,
RN7SL857P,mut,,,,,
RN7SL857P,cnv,,,,,
NCMAP,mut,,,,,
NCMAP,cnv,,,,,
SRRM1,mut,,,,,
