gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
ADCY4,mut,,,,,
ADCY4,cnv,,,,,
ADCY5,mut,,,,,
ADCY5,cnv,,,,,
ADCY6,mut,,,,,
ADCY6,cnv,,,,,
ADCY7,mut,,,,,
ADCY7,cnv,,,,,
ADCY8,mut,,,,,
ADCY8,cnv,,,,,
ADCY9,mut,,,,,
ADCY9,cnv,,,,,
ADCYAP1,mut,,,,,
ADCYAP1,cnv,,,,,
ADCYAP1R1,mut,,,,,
ADCYAP1R1,cnv,,,,,
ADD1,mut,,,,,
ADD1,cnv,,,,,
ADD2,mut,,,,,
ADD2,cnv,,,,,
ADD3,mut,,,,,
ADD3,cnv,,,,,
ADGB,mut,,,,,
ADGB,cnv,,,,,
ADH1A,mut,,,,,
ADH1A,cnv,,,,,
ADH1B,mut,,,,,
ADH1B,cnv,,,,,
ADH1C,mut,,,,,
ADH1C,cnv,,,,,
ADH4,mut,,,,,
ADH4,cnv,,,,,
ADH5,mut,,,,,
ADH5,cnv,,,,,
ADH6,mut,,,,,
ADH6,cnv,,,,,
ADH7,mut,,,,,
ADH7,cnv,,,,,
ADHFE1,mut,,,,,
ADHFE1,cnv,,,,,
ADI1,mut,,,,,
ADI1,cnv,,,,,
ADIG,mut,,,,,
ADIG,cnv,,,,,
ADIPOQ,mut,,,,,
ADIPOQ,cnv,,,,,
ADIPOR1,mut,,,,,
ADIPOR1,cnv,,,,,
ADIPOR2,mut,,,,,
ADIPOR2,cnv,,,,,
ADIRF,mut,,,,,
ADIRF,cnv,,,,,
ADK,mut,,,,,
ADK,cnv,,,,,
ADM,mut,,,,,
ADM,cnv,,,,,
ADM2,mut,,,,,
ADM2,cnv,,,,,
ADM5,mut,,,,,
ADM5,cnv,,,,,
ADNP,mut,,,,,
ADNP,cnv,,,,,
ADNP2,mut,,,,,
ADNP2,cnv,,,,,
ADO,mut,,,,,
ADO,cnv,,,,,
ADORA1,mut,,,,,
ADORA1,cnv,,,,,
ADORA2A,mut,,,,,
ADORA2A,cnv,,,,,
ADORA2B,mut,,,,,
ADORA2B,cnv,,,,,
ADORA3,mut,,,,,
ADORA3,cnv,,,,,
ADPGK,mut,,,,,
ADPGK,cnv,,,,,
ADPRH,mut,,,,,
ADPRH,cnv,,,,,
ADPRHL1,mut,,,,,
ADPRHL1,cnv,,,,,
ADPRHL2,mut,,,,,
ADPRHL2,cnv,,,,,
ADPRM,mut,,,,,
ADPRM,cnv,,,,,
ADRA1A,mut,,,,,
ADRA1A,cnv,,,,,
ADRA1B,mut,,,,,
ADRA1B,cnv,,,,,
ADRA1D,mut,,,,,
ADRA1D,cnv,,,,,
ADRA2A,mut,,,,,
ADRA2A,cnv,,,,,
ADRA2B,mut,,,,,
ADRA2B,cnv,,,,,
ADRA2C,mut,,,,,
ADRA2C,cnv,,,,,
ADRB1,mut,,,,,
ADRB1,cnv,,,,,
ADRB2,mut,,,,,
ADRB2,cnv,,,,,
ADRB3,mut,,,,,
ADRB3,cnv,,,,,
ADRBK1,mut,,,,,
ADRBK1,cnv,,,,,
ADRBK2,mut,,,,,
ADRBK2,cnv,,,,,
ADRM1,mut,,,,,
ADRM1,cnv,,,,,
ADSL,mut,,,,,
ADSL,cnv,,,,,
ADSS,mut,,,,,
ADSS,cnv,,,,,
ADSSL1,mut,,,,,
ADSSL1,cnv,,,,,
ADTRP,mut,,,,,
ADTRP,cnv,,,,,
AEBP1,mut,,,,,
AEBP1,cnv,,,,,
AEBP2,mut,,,,,
AEBP2,cnv,,,,,
AEN,mut,,,,,
AEN,cnv,,,,,
AES,mut,,,,,
AES,cnv,,,,,
AFAP1,mut,,,,,
AFAP1,cnv,,,,,
AFAP1L1,mut,,,,,
AFAP1L1,cnv,,,,,
AFAP1L2,mut,,,,,
AFAP1L2,cnv,,,,,
AFF1,mut,,,,,
AFF1,cnv,,,,,
AFF2,mut,,,,,
AFF2,cnv,,,,,
AFF3,mut,,,,,
AFF3,cnv,,,,,
AFF4,mut,,,,,
AFF4,cnv,,,,,
AFG3L1P,mut,,,,,
AFG3L1P,cnv,,,,,
AFG3L2,mut,,,,,
AFG3L2,cnv,,,,,
AFM,mut,,,,,
AFM,cnv,,,,,
AFMID,mut,,,,,
AFMID,cnv,,,,,
AFP,mut,,,,,
AFP,cnv,,,,,
AFTPH,mut,,,,,
AFTPH,cnv,,,,,
AGA,mut,,,,,
AGA,cnv,,,,,
AGAP1,mut,,,,,
AGAP1,cnv,,,,,
AGAP10,mut,,,,,
AGAP10,cnv,,,,,
AGAP11,mut,,,,,
AGAP11,cnv,,,,,
AGAP2,mut,,,,,
AGAP2,cnv,,,,,
AGAP3,mut,,,,,
AGAP3,cnv,,,,,
AGAP4,mut,,,,,
AGAP4,cnv,,,,,
AGAP5,mut,,,,,
AGAP5,cnv,,,,,
AGAP6,mut,,,,,
AGAP6,cnv,,,,,
AGAP7,mut,,,,,
AGAP7,cnv,,,,,
AGAP8,mut,,,,,
AGAP8,cnv,,,,,
AGAP9,mut,,,,,
AGAP9,cnv,,,,,
AGBL1,mut,,,,,
AGBL1,cnv,,,,,
AGBL2,mut,,,,,
AGBL2,cnv,,,,,
AGBL3,mut,,,,,
AGBL3,cnv,,,,,
AGBL4,mut,,,,,
AGBL4,cnv,,,,,
AGBL5,mut,,,,,
AGBL5,cnv,,,,,
AGER,mut,,,,,
AGER,cnv,,,,,
AGFG1,mut,,,,,
AGFG1,cnv,,,,,
