gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
AKR1A1,cnv,,,,,
AKR1B1,mut,,,,,
AKR1B1,cnv,,,,,
AKR1B10,mut,,,,,
AKR1B10,cnv,,,,,
AKR1B15,mut,,,,,
AKR1B15,cnv,,,,,
AKR1C1,mut,,,,,
AKR1C1,cnv,,,,,
AKR1C2,mut,,,,,
AKR1C2,cnv,,,,,
AKR1C3,mut,,,,,
AKR1C3,cnv,,,,,
AKR1C4,mut,,,,,
AKR1C4,cnv,,,,,
AKR1D1,mut,,,,,
AKR1D1,cnv,,,,,
AKR1E2,mut,,,,,
AKR1E2,cnv,,,,,
AKR7A2,mut,,,,,
AKR7A2,cnv,,,,,
AKT1,mut,,,,,
AKT1,cnv,,,,,
AKT2,mut,,,,,
AKT2,cnv,,,,,
AKT3,mut,,,,,
AKT3,cnv,,,,,
ALAD,mut,,,,,
ALAD,cnv,,,,,
ALAS1,mut,,,,,
ALAS1,cnv,,,,,
ALB,mut,,,,,
ALB,cnv,,,,,
ALCAM,mut,,,,,
ALCAM,cnv,,,,,
ALDH18A1,mut,,,,,
ALDH18A1,cnv,,,,,
ALDH1A1,mut,,,,,
ALDH1A1,cnv,,,,,
ALDH1B1,mut,,,,,
ALDH1B1,cnv,,,,,
ALDH1L1,mut,,,,,
ALDH1L1,cnv,,,,,
ALDH3B1,mut,,,,,
ALDH3B1,cnv,,,,,
ALDH3B2,mut,,,,,
ALDH3B2,cnv,,,,,
ALDH4A1,mut,,,,,
ALDH4A1,cnv,,,,,
ALDH5A1,mut,,,,,
ALDH5A1,cnv,,,,,
ALDH7A1,mut,,,,,
ALDH7A1,cnv,,,,,
ALDH8A1,mut,,,,,
ALDH8A1,cnv,,,,,
ALDH9A1,mut,,,,,
ALDH9A1,cnv,,,,,
ALDOB,mut,,,,,
ALDOB,cnv,,,,,
ALG14,mut,,,,,
ALG14,cnv,,,,,
ALG2,mut,,,,,
ALG2,cnv,,,,,
ALG6,mut,,,,,
ALG6,cnv,,,,,
ALG8,mut,,,,,
ALG8,cnv,,,,,
ALG9,mut,,,,,
ALG9,cnv,,,,,
ALK,mut,,,,,
ALK,cnv,,,,,
ALKBH3,mut,,,,,
ALKBH3,cnv,,,,,
ALKBH4,mut,,,,,
ALKBH4,cnv,,,,,
ALKBH8,mut,,,,,
ALKBH8,cnv,,,,,
ALLC,mut,,,,,
ALLC,cnv,,,,,
ALMS1,mut,,,,,
ALMS1,cnv,,,,,
ALOX5,mut,,,,,
ALOX5,cnv,,,,,
ALPI,mut,,,,,
ALPI,cnv,,,,,
ALPK1,mut,,,,,
ALPK1,cnv,,,,,
ALPL,mut,,,,,
ALPL,cnv,,,,,
ALPP,mut,,,,,
ALPP,cnv,,,,,
